question,answer,intent,state,crop
paddy (dhan) paddy sheath blight and bph management ;-,recommended to spray pymetrozine 100 grams + tebuconazole + trifloxystrobin 80-100 grams /200 litres of water/ acre,plant protection,telangana,paddy (dhan)
paddy (dhan) preventive measure for stem borer in paddy nursery,recommended to apply carbofuran 3g granules 400 grams /2.5 cents,nutrient management,telangana,paddy (dhan)
others information online application for agriculture subsidy ?,rajya krishi yantrikaran programme link -,government schemes,bihar,others
"cashew contact number of cashew research station ,madakathara","suggested conatct number of cashew research station ,madakathara +91-487-2980339",seeds and planting material,kerala,cashew
common millet (panivaragu/chena/proso millet/hogm weed management in open filed,recommended to spray glycil along with ssp will be apply entire field,weed management,andhra pradesh,common millet (panivaragu/chena/proso millet/hogm
paddy (dhan) application of fertilizer after herbicide in paddy,recommended to apply fertilizer after 4-5 days spraying of herbicide,weed management,telangana,paddy (dhan)
papaya the nutrient management and planting operations of papaya.,pits of size 50 cm x 50 cm x 50 cm are taken and filled with topsoil. two months old seedlings are transplanted. the ideal planting time is may-june. the recommended spacing is 2 m x 2 m. apply organic manure mix with top soil and palnting the seedlings.,nutrient management,kerala,papaya
chillies root rot in previous crop in chilly,--advised to apply trichoderma viridae along with fym as basal application,nursery management,telangana,chillies
pepper the pottassium deficiency in pepper.,suggested to spray pottassium nitrate 3g/l.,nutrient management,kerala,pepper
broad bean nutrient management in amara payar(sword bean),"it is suggested to apply 10kg fym per pit along with 22gram urea , 100g rajphos & 16gram muriate of potash per plant",nutrient management,kerala,broad bean
sugarcane (noble cane) the solution for the white grub infestation in sugarcane.,suggested to drench with cholopyriphos @2 ml per liter of water.,plant protection,karnataka,sugarcane (noble cane)
pepper nutrient management for pepper seedlings,suggested to spray 19:19:19 npk mix @ 2g/l,nutrient management,kerala,pepper
others new registration of pm kisan samman nidhi,suggested that the 2018 and 2024 land tax receipt is required for new pm-kisan registration.,government schemes,kerala,others
paddy (dhan) zinc defieciency management in paddy,recommended to spray zinc sulphate 2 grams / 1 litre of water,nutrient management,telangana,paddy (dhan)
guava management of mealy bug in guava,suggested to spray neem oil garlic emulsion,plant protection,kerala,guava
methi (fenugreek) fertilizer requirement of nutmeg,"the first split has to be applied in may-june. the urea, rock phosphate, muriate of potash needed at this time is 543 gram, 694 gram, 835 gram respectively per plant. the second dose has to apply in september-october and the dosage is 542 gram urea, 694 gram rock phosphate, 835 gram muriate of potash respectively per plant.",nutrient management,kerala,methi (fenugreek)
paddy (dhan) paddy stem borer management ?,recommended to spray cartap hydrochloride (caldan) 400 gms/acre 2 gms/1 ltr of water,plant protection,andhra pradesh,paddy (dhan)
black gram (urd bean) seed rate and treatment,"seed rate @ 8kg per acre varities like tmv 1 , t 9",cultural practices,karnataka,black gram (urd bean)
beans management of leaf drying in beans,suggestd to spray carbendazim 2 g per liter of water.,plant protection,kerala,beans
maize (makka) sowing time in sweet corn,recommended sweet corn can be sown through out the year,sowing time and weather,telangana,maize (makka)
others pm kisan 20th installment releasing date ?,recommended not officially announced 20 th installment date,government schemes,telangana,others
cotton (kapas) dosage of fantac plus growth promoter information,recommended dosage of :fantac plus growth promoter is 0.5 to 1 ml / 1 l of water & 100 – 150 ml / acre ..,nutrient management,telangana,cotton (kapas)
maize (makka) varieties of maize for kharif,advised to sow dhm-117 or dhm-121 or karimnagar makka-1 varieties of maize,varieties,telangana,maize (makka)
groundnut (pea nut/mung phalli) ground nut root rot management ;-,recommended to drench copper oxy chloride 3 grams / 1 litre of water,plant protection,telangana,groundnut (pea nut/mung phalli)
arecanut nutrient management for arecanut at first year,"apply 80g of each urea, rajphos and potash per palm",nutrient management,kerala,arecanut
paddy (dhan) water management after herbicide spraying in paddy,suggest him irrigate after 2 days,water management,andhra pradesh,paddy (dhan)
jack fruit application of ash to jackfruit plant,suggested that ash can be applied to jack fruit plant.,nutrient management,kerala,jack fruit
paddy (dhan) leaf blight management in paddy?,recommended to spry propiconazole (tilt ) 200 ml/acre 1 ml/1 ltr of water,plant protection,andhra pradesh,paddy (dhan)
tomato application of garlic waste in tomato plants,"suggested that garlic waste can be applied as such to plants and also can be use after composting.using them will increase their disease resistance, growth, and productivity",nutrient management,kerala,tomato
others pm kisan samman nidhi scheme(16th)intallment,no news from centrel govt recording 16th installment of pm kisan,government schemes,telangana,others
coconut sodium chloride application in coconut,the use of sodium chloride (nacl) or common salt (cs) as fertilizer is a practical means of increasing coconut production. salt is the cheapest and best source of chlorine to increase copra yield. chlorine deficiency in coconut is widespread in inland areas.,nutrient management,kerala,coconut
mango control of die back of mango tree,prun the diseased twigs 2-3 inches below the affected portion. paste the pruned twigs with bordeaux paste or copper oxychloride 50 wp (10 gram/litre of water) followed by spraying of bordeaux mixture 1% or copper oxychloride 50 wp (3 gram/litre of water) on infected tree.,plant protection,kerala,mango
paddy (dhan) stem borer in paddy managmeent,recommended to spray cartap hydrochloride (caldan) 400gm/200 litres of water / acre,plant protection,telangana,paddy (dhan)
cotton (kapas) control measures for yellow thrips in cotton,given necessary information and suggested to spray diafenthiuron 50% wp @ 250 gram per acre,plant protection,karnataka,cotton (kapas)
cotton (kapas) what to spray to recover cotton crop from abiotic stress due to water logging,"to recover crop from abiotic stress due to water logged condition or due to drought stress: suggested to spray biostimulants like combination of amino acid,humic acid,fulvic acid and seaweed extracts.",bio-pesticides and bio-fertilizers,karnataka,cotton (kapas)
others application of pm kisan which is already registered under other member of family,suggested to voluntarily submit the pm kisan benefits and apply as new farmer registration,government schemes,kerala,others
paddy (dhan) formula 4 micronutrient information?,"contains all the micronutrients in most available forms – ferrous, zinc, manganese, copper in chelated form, while boron and molybdenum in non-chelated form. recommended for all crops and plants. use to treat micronutrient deficiencies in plants. can be used at any stage of crop/plant.",nutrient management,andhra pradesh,paddy (dhan)
banana six split fertilizer application in nendran banana,"the first split has to be applied in one month after planting. the urea, rock phosphate, muriate of potash needed at this time is 87 gram, 361 gram, 100 gram respectively per plant.the second dose has to apply in two month after planting. the urea, rock phosphate, muriate of potash needed at this time is 65 gram, 278 gram, 100 gram respectively per plant.the fertilizer dose at 3rd, 4th, 5th months are same and the dosage is 65 gram urea, 100 gram muriate of potash respectively each time.the sixth dose has to be applied at just after complete bunch emergence. the fertilizer dose is 65 gram urea.",nutrient management,kerala,banana
coriander coriander market information ;-,"coriander market information ;-minimum price ;-7250,maximum price;-7250 quintal/rs",market information,telangana,coriander
green gram (moong bean/ moong) borer management in cowpea,recommended to spray quinolphos (ekalux) 2 ml/1 ltr of water 400ml/acre,plant protection,andhra pradesh,green gram (moong bean/ moong)
cocoa management of gall midge in cocoa,spray azadirachtin @ 5 ml per litre water,plant protection,kerala,cocoa
green gram (moong bean/ moong) green gram nutrient management ;-,recommended to spray npk 19-19-19 mixture 5 grams/1 litre of water,nutrient management,telangana,green gram (moong bean/ moong)
poplar fertilizer requirement of 3 year old rubber,suggested to apply urea 240 gram 610 gram rock phosphate and 70 gram murate of potash per tree,nutrient management,kerala,poplar
chillies chilli thirps management ;-,recommended to spray fipronil 400 ml / 200 litres of water /acre,plant protection,telangana,chillies
others plant protection in sorghum,suggested to spray copper oxychloride @ 3 g/ltr of water + streptocycline @ 0.5 g/ltr of water,plant protection,karnataka,others
tomato seed treatment in tomato?,recommended to treat 5 gm imidacloprid /1 kg seed,cultural practices,andhra pradesh,tomato
bitter gourd bitter gourd leaf eating caterpillar management ;-,recommended to spray chlorpyrifos 2 ml/ litres of water,plant protection,telangana,bitter gourd
paddy (dhan) what is the duration of iirr 93r paddy variety?,"long-grain rice golden paddy seeds iirr 93r, jute bag, thin and long grain rice. thin and long grain rice producing paddy seed available for sale. for cultivation: 120 days crop; resitant to saline water and pests when compared to other rice varities.",plant protection,telangana,paddy (dhan)
maize (makka) nano urea dosage in maize,recommended to spray 2-4 ml/liter water,nutrient management,telangana,maize (makka)
groundnut (pea nut/mung phalli) borers management in groundnut crop,recommended to spray chlorantraniliprole (coragin) 60 ml/150 litres of water / acre,plant protection,telangana,groundnut (pea nut/mung phalli)
banana ca and boron deficiency in banana,suggested to apply 250 g dolomite and after one week 10g borax per plant,nutrient management,kerala,banana
fingermillet (ragi/mandika) nutrient management in finger millet,recommended to spray 19:19:19 @ 5 g/ltr of water + samruddi @ 3 ml/ltr of water,nutrient management,karnataka,fingermillet (ragi/mandika)
