question,answer,intent,state,crop
application of paddy special and dose of fertilizer,"recommended to apply paddy special @2gm/l water 
also apply urea @9kg, ssp @17kg and mop@9kg per bigha during the last puddling and keep for 3-4 days.

again top dress urea @ 9kg per bigha at 30-50 days during tillering stage",unknown,unknown,unknown
the insect problem of citrus,"apply dursban 20% ec @ 2ml/l of water, 3 spray at 5 days interval ( lemon)",unknown,unknown,unknown
some local chicken showing some smallpox like stracture  on mouth & skin,"told him to wash the floor & side wall with b 904 / q- for all solution ,for infected chicken -- wash the area with wokadine solution , apply dermocept oint over the affected area  neodex forte 2 gm / lits of water for 4-5 days ,for  non affected chicken---   immunize the chicken with small pox vaccine [ 0.5 ml i/ m ly ] & rest medicine as directed",unknown,unknown,unknown
control for loopers in tea,spray malathion 50 ec @ 2ml/litre water,unknown,unknown,unknown
the cercospora leaf spot of gerbera,"apply saaf@ 2gm/l of water, 3 spray at 5 days interval",unknown,unknown,unknown
some deficiency,"recommended him to apply npk 19 all @ 10g/lit spray 2 time at 15 days interval
and for fungal problem apply saaf @ 2g/lit of water spray 3 time at 5 days interval",unknown,unknown,unknown
a cow showing the signs of inappitance of a cow,"told him to check the temperature , if temore then 1 f  should be consider as hyper thermia -- ionject melonex plus 30 ml enrocin 15 ml as directed / floraboost boli 10 nos - 2 bolus orally daily with anigest 30 gm as directed",unknown,unknown,unknown
some tomato varieties.,"recommended him to go for pusa ruby, arka rakshak etc.",unknown,unknown,unknown
control for downy mildew and aphid,"spray- saaf @2ml/litre water, 2 spray at an interval of 5 days and for aphid spray dursban 20% ec @ 2ml/litre water, 2 spray at an interval of 5 days",unknown,unknown,unknown
fertilizer dose in sali rice,"told him apply dap-15kg, urea-3kg and mop-9kg /bigha at the time of transplanting.again aplly 3kg urea  30 days after transplanting",unknown,unknown,unknown
control for anthracnose in chilly,"spray amistar @ 1.5 ml/ litre water,2 sprays at an interval of 5 days

weather report

date	  rainfall
                  (mm)	    temp
                                  (max/min)	 humidity 
                                                        (max/min)	wind
20 jun	   3.2	33.0  / 26.0	78.0  / 92.0	0.0
21 jun	   38.0	28.0  / 25.0	82.0  / 0	        2.0
22 jun	   113.0	34.0  / 27.0	56.0  / 0	        4.0
23 jun	   52.0	34.0  / 27.0	60.0  / 0	        4.0
24 jun	   45.0	35.0  / 26.0	59.0  / 0	        3.0
25 jun	   36.0	33.0  / 26.0	61.0  / 0	        4.0",unknown,unknown,unknown
blight in ghost chilli,"do the ooze test and if white ooze comes out then spray streptomycin @ 1 gm/ 5 litre water, 2 spray at an interval of 5 days and if no white ooze comes out then spray amistar @ 1.5ml/litre water.
before spraying the chemicals please discard the infected portions away and burn it down and clean the area properly.",unknown,unknown,unknown
ooze test in chilli.,"told him to take a portion of branch from infected plant. then one end should be placed in a glass of clean water for 20 minutes.if ooze comes out, it can be declared as bacterial infection.",unknown,unknown,unknown
asked about applying of lime in the paddy field,apply lime 30kg/bigha every year at the time of ploughing.and suggested to follow the sri method of paddy cultivation for better yield,unknown,unknown,unknown
asked about bacterial rot in ghost chilli,"spray streptomycin or cristocyclin @ 1gm/5 litre water, 2 sprays at an interval of 5 days",unknown,unknown,unknown
the bud rot problem of coconut and worm problem in coconut,"told him to spray saaf @ 2gm/l of water, 3 spray at 5 days interval, 
worm problem= furadon 3 gm soil application to control the problem",unknown,unknown,unknown
"the papaya varieties, planting ditance, micro nutrient","suggestion=
papaya varieties- washington, haflong, red lady, coorg honey dew, pusa delicious,
.
distance-1.8m*1.8m
pit size-45cm*45cm*45cm",unknown,unknown,unknown
cow showing the signs of foot & mouth disease,"told him  to wash the foot with potash solution , apply dressol spray over the lesion , inject fortious & dexona as directed",unknown,unknown,unknown
the pm kisan help line no,"told him to visit district agricultural office with documents like paasbook, land documents, pan card etc.
pm kisan help line no=011233981092",unknown,unknown,unknown
the vermicompost preparation method,"suggestion=
materials for preparation of vermicompost

any types of biodegradable wastes-

1. crop residues 
2. weed biomass 
3. vegetable waste 
4. leaf litter
5. hotel refuse
6. waste from agro-industries
7. biodegradable portion of urban and rural wastes

vermicompost production methodology

i) selection of suitable earthworm
ii) selection of site for vermicompost production

iii) containers for vermicompost production
v) worm food 
vi) selection for vermicompost production
vii) putting the waste in the container
viii) watering the vermibed
ix) harvesting vermicompost",unknown,unknown,unknown
duck weed removal in fish pond,"remove duck weed manually by using a net having small mesh size
stop fertilizing pond for 1 month as this create the weed growth 
biological control  is by stocking grass carp and avoid falling of tree leafs in the pond

chemical method is not advisable after fish stocked",unknown,unknown,unknown
the rooting hormone,told him to apply rootex 2 powder,unknown,unknown,unknown
fungal infection in acid lime,"spray saaf @ 2ml/litre water,2 sprays at an interval of 5 days",unknown,unknown,unknown
some varieties and fertilizer requirement in water melon.,"water melon varieties- pusa bedana, sugar baby, faizabad.
fertilizer recommendation- 17 kg urea, 33 kg ssp and 13 kg mop per bigha of land.",unknown,unknown,unknown
the drrh3 rice variety,"told him details regarding drrh3 rice variety, like duration-131 day, mid early variety, yield- 6 ton/ h.  developed by hyderabad.",unknown,unknown,unknown
kisan credit card.,told him to visit nationalized bank.,unknown,unknown,unknown
control of pest in mushroom,recommended to paste garlic and take the liquid @10ml/l water then spray,unknown,unknown,unknown
the leaf curl of citrus,"suggestion=
apply dursban  @ 2 ml/ l of water, 3 spray at 5 days interval",unknown,unknown,unknown
control of fall army worm,recommended to spray dimethoate 20 ec @2ml/l water and spray for 3 days at 5 days interval,unknown,unknown,unknown
reducing the bitterness of ridge gourd,told him to apply succinic acid @ 1ml/5 lit of water spray 2 time at 15 days interval,unknown,unknown,unknown
control of aphids in chilli.,told him to apply malathion 25 ec @ 2 ml per liter of water.,unknown,unknown,unknown
control of army worm in paddy.,told him to apply decis @ 2 ml per liter of water.,unknown,unknown,unknown
disease ang wound on the toes of legs,told him apply to washing with potas and little warm water and also apply ointment(betadine 50g),unknown,unknown,unknown
oestrous  of a holstein fresian  cow,told  him  to give  prajana / sajani  caps  as directed for two consugative days,unknown,unknown,unknown
pm kisan 3 rd installment,recommended to approach the agri deppt. or conatct helpline no.01123381092 and 01123382401,unknown,unknown,unknown
the control of bacterial wilt in bottle gourd.,recommended him to apply cristocycline @ 1 g per 5 liters of water.,unknown,unknown,unknown
the bacterial blight in chilli,"told him to apply streptomycin @ 1ml/ 5 l of water, 2 spray at 15 days interval",unknown,unknown,unknown
the mastitis,1. mammicef/mammitel per affected quarter for 5 day and repeat  after 12hrs. 2. dicrystine- 10ml i/m for 5 days,unknown,unknown,unknown
control of sooty mould in orange,recommended to spray phosphamidon by mixing 2ml in 1 litre of water. spray 3 times at 5 days interval.,unknown,unknown,unknown
the gestation period  of pig,"gestation period is different  for different animal -- in swine generally 114 days, may varies depending upon the type of management & breed",unknown,unknown,unknown
nutrional feed of broiler in age 21 days,"use the grower ration now . 1 maize  yellow maize	43
groundnut cake (expeller)	8
gingelly oil cake	5
fish meal/dried unsalted fish	6
rice polish	16
wheat bran	20
salt	0.25
mineral mixture	1.75
total	100.00",unknown,unknown,unknown
the leaf minor problem in paddy,"suggestion=
apply dursban or rogor 2gm/ l of water , 3 spray at 5 days interval",unknown,unknown,unknown
control for mealy bug in papaya,"spray malathion 50 ec @ 2ml/litre water,2 sprays at an interval of 5 days",unknown,unknown,unknown
control measure of fusarium wilt of betel vine,told him to apply bordeaux mixture twice at 15 days interval,unknown,unknown,unknown
early varieties for cultivation,"recommended to cultivate early varieties like early kunwari, pusa katki and pusa deepali
time of sowing for early varieties are: mid july to first week of august (matures byoctober)",unknown,unknown,unknown
management of leaf rust and control of leaf miner,"recommended to spray bavistin @2gm/l water , 3 doses at 5 days interval.
also spray malathion 50 ec @2ml/l water against pest infestation",unknown,unknown,unknown
reduce of feed after parturation and loss of milk in the sow,"recommended to provided good quality food like maize ,seeds ,molases  ,  and use medicine 1.grow-cal d3 @sig to be given 5ml daily after food or grow b-plex @ sig to be given 25-30 ml daily",unknown,unknown,unknown
fertilizer applicable interval,apply urea after plucking of tea leaves,unknown,unknown,unknown
the fertiliser doses  for paddy,"suggestion=
urea- 10kg/ bigha ( 2 split doses) 
dap- 6 kg / bigha
mop-4 kg / bigha",unknown,unknown,unknown
the leaf eating cater pillar of bitter gourd,"suggestion=
apply dursban @ 2ml / l of water , 3 spray at 5 days interval.
or apply ekka @ 2ml m/ l of , 3 spray at 5 days interval",unknown,unknown,unknown
"disease management ,sign discharge from vulva for 2 days but donot comes heat",recommended to suspected uterine infection or pyometra ...treatment 1.intacef 500mg 3 vial @sig to be inj 1 vial daily i/m or i/v or xyrofur 1 gm 3 vial @ sig to inj 1 vial i/v daily,unknown,unknown,unknown
last date of pmkisaan,told him the last date was 15th july,unknown,unknown,unknown
the control of aphids in spine gourd.,recommended him to apply malathion 50 ec @ 2 ml per liter of water at an interval of 3 days for 3 times.,unknown,unknown,unknown
the control of stem borer in orange.,told him to apply malathion 50 ec @ 2 ml per liter of water at an interval of 3 days for 3 times. deep cotton in the malathion solution @ 2 ml per liter of water and place in the whole on the stem.,unknown,unknown,unknown
control measure of blight in paddy,"told him to apply saaf @ 2 ml per litre of water, thrice at 4 days interval",unknown,unknown,unknown
dose of rogor (insecticide),mix 2 ml rogor in 1 litre of water and spray 3 times at 5 days interval.,unknown,unknown,unknown
dose of apsa 80,"for use with herbicides:

add 20 ml of apsa-80 adjuvant (1 capful) per 15 liters of water in the spray tank and allow to mix thoroughly
add the herbicide according to manufacturer’s instructions
for use with insecticides or fungicides:

add 5 ml (1/4 capful) of apsa-80 adjuvant per 15 liters of spray solution in the spray tank, and allow to mix thoroughly
add the insecticide or fungicide according to the manufacturer’s instructions",unknown,unknown,unknown
` a goat,told him  to give  normal saline  i/ v ly  inject   dexona  1 ml  inject fortious 30 ml as directed,unknown,unknown,unknown
control measure of leaf spot of beans,"told him to apply saaf @ 2 ml per lit of water, thrice at 4 days interval",unknown,unknown,unknown
